CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas
04067810000116;SOCIEDADE DE ASSISTÊNCIA ODONTOLOGICA DE GRUPO/RN - DENTAL MED CENTER/RN;4º Trimestre;2025;16415859.06
31432792000105;UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;1º Trimestre;2026;628817779.49
00147571000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;4º Trimestre;2025;348318876.82
30505523000150;DONA SAÚDE CLINICAS LTDA;1º Trimestre;2026;11864701.50
34907159000106;ODONT-OPERADORA ODONTOLOGICA LTDA;1º Trimestre;2026;8407690.86
77375897000162;FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;4º Trimestre;2025;1127606075.25
01773319000112;UNIMED VALE DO PARAÍBA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;3º Trimestre;2025;8024704.29
03977587000181;SBC SAÚDE LTDA.;3º Trimestre;2025;140097807.14
82624776000147;UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;3º Trimestre;2025;3525364798.52
01685053000156;SUL AMERICA COMPANHIA DE SEGURO SAÚDE;4º Trimestre;2025;144148203329.47
55990451000105;SANTA CASA DE MISERICÓRDIA E BENEFICÊNCIA PORTUGUESA;3º Trimestre;2025;96169587.54
82996703000186;UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA;3º Trimestre;2025;1542319855.47
49320799000192;ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL;3º Trimestre;2025;797149277.06
02852017000100;SISTEMAS E PLANOS DE SAÚDE LTDA.;4º Trimestre;2025;416336131.06
37319040000100;VOCÊ TOTAL PLANOS DE SAÚDE LIMITADA;1º Trimestre;2026;20023926.07
16608812000154;SOCIEDADE BENEFICENTE DEZOITO DE JULHO;1º Trimestre;2026;49302376.44
03230123000107;UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;4º Trimestre;2025;467683540.13
72957814000120;SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA;4º Trimestre;2025;292677463.74
13170410000122;ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC;3º Trimestre;2025;133628826.66
39427632000171;ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;4º Trimestre;2025;5933850224.94
49481538000154;SAUDIA ASSISTENCIA MÉDICA LTDA;4º Trimestre;2025;5318790.73
68668045000172;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;4º Trimestre;2025;660832545.74
11973134000105;SUL AMÉRICA ODONTOLÓGICO S/A;4º Trimestre;2025;405522056.47
83937631000169;CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC;3º Trimestre;2025;484346453.99
04503249000170;ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM;4º Trimestre;2025;86205777.94
92911056000116;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;4º Trimestre;2025;15822269.59
62635990000191;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;3º Trimestre;2025;1568990172.02
00847821000168;UNIODONTO DE LINS COOPERATIVA ODONTOLOGICA;4º Trimestre;2025;14609176.38
57214900000159;UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO;1º Trimestre;2026;122000189.43
26185199000163;UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA;3º Trimestre;2025;96546516.88
89100135000132;UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.;4º Trimestre;2025;224879781.99
30460075000116;MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO;4º Trimestre;2025;1010143426.82
67989434000137;ROPE ODONTOLOGIA ESPECIALIZADA S/S LTDA.;1º Trimestre;2026;71755.08
17048922000171;ODONTO PRIME S/S LTDA;4º Trimestre;2025;9717606.66
02752923000125;PROASA SAÚDE;1º Trimestre;2026;545486277.76
03424929000136;SAUDE PAS - MEDICINA E ODONTO;3º Trimestre;2025;832354485.08
02772726000178;UNIODONTO PAULO AFONSO COOPERATIVA DE TRABALHO ODONTOLÓGICO LTDA.;4º Trimestre;2025;1653397.62
12585261000108;FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;3º Trimestre;2025;566658550.34
67577171000159;UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO;3º Trimestre;2025;138939004.40
30724638000136;ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL;3º Trimestre;2025;24212434.14
15011651000154;BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A;3º Trimestre;2025;4617448541.33
66493339000185;ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU;1º Trimestre;2026;3540423.74
01867792000169;NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;1º Trimestre;2026;25570748.18
56762172000157;UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO;3º Trimestre;2025;215623403.47
02220135000198;ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO;3º Trimestre;2025;105696131.10
58119199000151;BRADSAUDE S.A.;4º Trimestre;2025;4795551660.21
13083167000105;ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;3º Trimestre;2025;20254598.19
45171402000197;UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO;3º Trimestre;2025;227293389.97
95642179000197;HUMANA SAÚDE LTDA.;4º Trimestre;2025;2291617647.39
60214517000105;UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO;4º Trimestre;2025;4257631744.01
71695746000105;UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS;4º Trimestre;2025;508661133.06
59499251000105;UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO;4º Trimestre;2025;308152903.47
00763923000103;UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO;3º Trimestre;2025;3182637.40
39210844000100;UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO;1º Trimestre;2026;133316117.10
08787782000162;PRIMA VIDA ODONTOLOGIA DE GRUPO LIMITADA;3º Trimestre;2025;43631458.17
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;4º Trimestre;2025;457009186.42
09306242000182;ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP;1º Trimestre;2026;84478515.05
40853020000120;UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;4º Trimestre;2025;2449307907.17
49792664000120;SUL DO PARÁ SAÚDE LTDA.;3º Trimestre;2025;37789272.35
10395358000114;UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.;3º Trimestre;2025;1499783629.76
29290152000158;UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.;4º Trimestre;2025;781894552.83
68687722000108;G & M ASSESSORIA MEDICA EMPRESARIAL LTDA;1º Trimestre;2026;531144.18
45399961000159;UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO;4º Trimestre;2025;7073731603.98
03511888000115;UNIODONTO DE CAMPO GRANDE SIST. NAC. COOP. ODONT.;4º Trimestre;2025;10739272.14
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;4º Trimestre;2025;387767796.84
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;3º Trimestre;2025;548724205.33
25141173000150;ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE;4º Trimestre;2025;18126681.24
15131148000132;AMHA SAUDE S/A;4º Trimestre;2025;409248225.94
15323270000100;ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA;1º Trimestre;2026;86808076.54
44945962000199;SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS;4º Trimestre;2025;22454833.60
25810946000144;UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA;1º Trimestre;2026;128557158.06
66191263000133;UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.;4º Trimestre;2025;570409267.79
02041808000142;ADVANCE PLANOS DE SAÚDE LTDA;3º Trimestre;2025;131231641.01
