RazaoSocial;RegistroANS;Modalidade;UF;TotalDespesas;MediaDespesasPorTrimestre;DesvioPadrao
BRADESCO SAÚDE S.A.;005711;Seguradora Especializada em Saúde;RJ;426220771547.66;142073590515.89;66681697857.76
SUL AMERICA COMPANHIA DE SEGURO SAÚDE;006246;Seguradora Especializada em Saúde;RJ;285574647543.13;95191549181.04;45272184964.01
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;326305;Medicina de Grupo;SP;271408952112.40;90469650704.13;41621579624.00
HAPVIDA ASSISTENCIA MEDICA S.A.;368253;Medicina de Grupo;CE;127911682418.11;42637227472.70;19648829017.59
NOTRE DAME INTERMÉDICA SAÚDE S.A.;359017;Medicina de Grupo;SP;123967547644.30;41322515881.43;19610472168.35
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;346659;Autogestão;DF;97328766005.44;32442922001.81;15115153499.85
UNIMED CNU - COOPERATIVA CENTRAL;339679;Cooperativa Médica;SP;92290219930.38;30763406643.46;14977168165.42
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;343889;Cooperativa Médica;MG;74095417124.26;24698472374.75;11427360342.14
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;302147;Medicina de Grupo;SP;73532660314.10;24510886771.37;11075992990.78
PORTO SEGURO - SEGURO SAÚDE S/A;000582;Seguradora Especializada em Saúde;SP;71315664031.06;23771888010.35;11064433061.27
UNIMED SEGUROS SAÚDE S/A;000701;Seguradora Especializada em Saúde;SP;66309179067.48;22103059689.16;10441525026.96
GEAP AUTOGESTÃO EM SAÚDE;323080;Autogestão;DF;56845413606.73;18948471202.24;7726318648.98
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;352501;Cooperativa Médica;RS;49166456499.46;16388818833.15;7786899793.70
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;304701;Cooperativa Médica;PR;43446197311.54;14482065770.51;6779092298.10
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;335690;Cooperativa Médica;SP;41245151777.42;13748383925.81;6402339188.65
UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;317144;Cooperativa Médica;CE;33703400498.45;11234466832.82;5145526465.45
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO;382876;Cooperativa Médica;GO;31219854885.04;10406618295.01;4855127882.42
OMINT SERVIÇOS DE SAÚDE S.A.;359661;Medicina de Grupo;SP;30105513603.55;10035171201.18;4741782092.24
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO;354627;Cooperativa Médica;PR;29182238547.40;9727412849.13;6808154002.82
SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS;424188;Autogestão;GO;27778260714.99;9259420238.33;4308990687.24
FUNDAÇÃO SAÚDE ITAÚ;312126;Autogestão;MG;27757106387.03;9252368795.68;4507893241.74
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;309222;Medicina de Grupo;RJ;25773273337.08;8591091112.36;4164739647.64
CARE PLUS MEDICINA ASSISTENCIAL LTDA.;379956;Medicina de Grupo;SP;25145039858.18;8381679952.73;3945223177.53
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;357391;Cooperativa Médica;ES;24587621811.34;8195873937.11;3864847109.05
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;312363;Cooperativa Médica;RJ;22698386206.37;11349193103.19;10720375323.70
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;335614;Medicina de Grupo;ES;19881671448.82;6627223816.27;2922140636.72
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO;344885;Cooperativa Médica;PE;19855416371.82;6618472123.94;3019953358.72
FUNDAÇÃO CESP;315478;Autogestão;SP;19633323292.35;6544441097.45;3404801027.67
UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO;303976;Cooperativa Médica;PA;18774426857.69;6258142285.90;2926411695.11
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;346926;Autogestão;DF;17334047150.47;5778015716.82;2447449894.10
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;319996;Cooperativa Médica;SP;17176214905.91;5725404968.64;2478621279.65
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO;335100;Cooperativa Médica;SP;17175433281.93;5725144427.31;2603856380.90
